"Installed Parts","1,340","5,409","8,380","7,475","10,374","10,688","11,966","13,865","11,389","12,259","12,400","12,906","12,490","12,270","11,818","12,533","13,065","12,856","13,396","12,770","13,529","15,056","14,708","15,074","15,505","15,178","14,281","16,758","17,311","13,704","12,665","16,544","16,966","15,972","12,884","16,590","17,163","17,265","17,194","17,243","17,667","18,076","19,409","19,864","20,547","20,424","17,510","20,361","19,684","20,027","19,117","18,992","20,167","20,323","22,651","16,150","19,901","19,704","19,069","19,005","15,848","19,094","18,013","18,665","18,128","18,372","17,590","10,564","49,190","495","7,356","14,782","18,825","20,783","20,408","21,926","20,180","23,303","23,169","22,831","25,504","20,438","18,287","23,330","24,584","24,972","26,568","19,804","25,720","25,819","24,916","25,778","26,352","26,474","27,585","27,008","28,134","26,215","22,485","27,935","28,493","28,447","30,284","29,237","29,672","31,585","31,321","24,638","29,259","29,101","28,910","31,096","25,268","28,819","28,237","27,120","27,961","27,614","28,661","27,581","26,820","26,750","25,789","26,295","26,979","27,298","27,585","27,421","29,094","28,428"
"Installed Parts Cost","$49,039.27","$276,991.03","$459,747.63","$424,368.92","$598,009.43","$586,192.60","$645,555.71","$719,361.63","$609,120.55","$673,793.83","$688,534.09","$715,629.51","$679,472.06","$685,479.50","$650,076.30","$691,165.39","$726,518.34","$734,878.03","$775,920.37","$748,721.42","$742,223.05","$816,304.35","$815,015.41","$847,645.36","$870,079.12","$826,379.98","$792,009.93","$913,858.78","$934,813.37","$723,398.13","$681,121.70","$872,318.24","$914,047.52","$838,149.90","$683,815.09","$907,390.30","$904,338.29","$914,342.41","$901,621.13","$921,573.67","$943,172.98","$951,281.43","$1,050,376.44","$1,052,400.25","$1,089,996.62","$1,086,346.66","$923,745.84","$1,113,963.77","$1,114,659.39","$1,119,027.41","$1,051,998.86","$1,023,393.37","$1,099,573.31","$1,103,137.44","$1,233,823.37","$865,959.25","$1,125,357.78","$1,078,516.55","$1,084,404.69","$1,133,277.68","$927,777.45","$1,172,637.26","$1,067,640.20","$1,071,416.65","$1,037,890.48","$1,014,348.28","$999,991.38","$595,508.70","$2,789,385.54","$23,924.56","$443,704.05","$837,207.14","$1,053,806.11","$1,153,028.66","$1,133,441.01","$1,224,644.19","$1,144,207.49","$1,296,614.19","$1,299,804.52","$1,286,867.71","$1,419,277.28","$1,133,076.77","$1,001,091.32","$1,303,915.97","$1,352,484.43","$1,334,617.79","$1,444,515.21","$1,108,506.79","$1,396,217.04","$1,400,128.78","$1,384,625.29","$1,423,302.80","$1,477,079.20","$1,518,964.56","$1,587,694.84","$1,553,972.84","$1,593,018.53","$1,519,646.08","$1,283,204.89","$1,582,410.70","$1,628,269.72","$1,641,868.25","$1,747,602.67","$1,670,850.58","$1,702,433.74","$1,787,818.63","$1,759,861.15","$1,401,186.62","$1,676,359.75","$1,669,923.96","$1,638,985.83","$1,791,178.70","$1,449,726.15","$1,574,936.96","$1,579,936.79","$1,501,639.63","$1,515,746.48","$1,494,244.08","$1,613,968.56","$1,514,295.56","$1,441,370.52","$1,463,008.23","$1,439,630.33","$1,464,161.20","$1,457,727.39","$1,519,638.72","$1,522,395.19","$1,539,590.04","$1,569,024.46","$1,550,007.17"
"Installed Parts Revenue","$98,014.46","$529,116.08","$854,670.24","$772,161.25","$1,035,251.07","$1,057,204.11","$1,188,335.94","$1,432,294.98","$1,199,284.27","$1,198,043.84","$1,213,670.35","$1,273,102.48","$1,222,716.65","$1,216,274.36","$1,160,173.07","$1,231,987.65","$1,308,097.60","$1,290,939.45","$1,365,813.59","$1,300,015.09","$1,325,053.43","$1,451,279.50","$1,422,583.81","$1,477,094.59","$1,521,562.43","$1,442,926.41","$1,358,838.17","$1,583,455.03","$1,648,554.44","$1,326,238.92","$1,260,208.78","$1,646,316.18","$1,720,582.43","$1,609,970.74","$1,320,962.83","$1,719,788.90","$1,731,552.40","$1,752,465.17","$1,717,831.06","$1,764,353.17","$1,808,607.62","$1,802,820.05","$1,971,372.45","$1,949,057.77","$2,009,698.50","$2,008,666.23","$1,730,098.97","$2,040,665.40","$1,996,172.33","$2,014,085.57","$1,927,572.84","$1,907,547.91","$2,007,682.20","$2,026,322.20","$2,240,662.83","$1,551,072.29","$1,975,935.61","$1,962,496.26","$1,897,263.68","$1,871,768.41","$1,543,506.37","$1,917,077.64","$1,735,332.26","$1,770,500.86","$1,716,000.62","$1,707,030.61","$1,680,097.18","$1,077,638.40","$5,967,893.50","$45,395.18","$749,459.14","$1,362,573.25","$1,733,337.64","$1,911,813.64","$1,859,660.17","$1,986,674.71","$1,867,165.56","$2,117,995.51","$2,118,665.14","$2,100,525.26","$2,342,832.74","$1,858,518.04","$1,633,625.44","$2,128,856.79","$2,198,808.51","$2,190,230.52","$2,356,483.31","$1,813,700.39","$2,293,095.76","$2,306,293.93","$2,264,299.76","$2,299,153.51","$2,408,155.59","$2,435,453.34","$2,548,012.91","$2,470,326.88","$2,551,430.49","$2,437,750.95","$2,052,360.97","$2,526,540.26","$2,633,956.29","$2,622,109.40","$2,773,171.82","$2,678,506.52","$2,733,594.16","$2,864,138.88","$2,815,856.49","$2,239,219.05","$2,683,991.59","$2,674,506.21","$2,633,647.32","$2,861,263.06","$2,326,187.83","$2,546,037.47","$2,543,672.56","$2,423,976.71","$2,443,442.49","$2,434,793.25","$2,606,241.60","$2,438,075.22","$2,322,710.30","$2,359,360.34","$2,308,489.05","$2,352,990.47","$2,347,265.50","$2,435,132.60","$2,429,897.09","$2,432,654.74","$2,530,893.60","$2,470,180.20"
"Not Shipped Parts","2,388","647","477","162","405","129","175","538","83","136","86","41","77","55","42","38","34","49","57","57","65","66","83","57","66","100","120","117","159","65","101","128","111","123","88","108","131","145","100","128","134","222","178","212","229","213","181","152","171","190","185","197","159","172","76","39","42","25","48","24","25","37","20","18","4","21","10","36","6,424","373","80","79","7","7","5","12","36","5","5","5","21","22","18","23","24","25","51","20","39","37","35","70","37","64","36","16","43","57","27","63","60","48","32","45","47","32","33","29","25","38","39","76","41","52","45","56","64","44","68","65","69","50","54","43","86","60","111","86","87","61"
"Not Shipped Parts Cost","$162,873.74","$59,309.84","$24,495.26","$11,515.28","$21,614.06","$7,127.03","$8,807.23","$13,354.83","$7,443.28","$9,688.87","$5,786.59","$2,072.44","$3,906.76","$3,288.25","$3,281.78","$1,681.85","$1,361.41","$2,081.50","$2,115.11","$3,569.22","$3,383.15","$3,882.86","$5,720.18","$2,851.97","$4,091.73","$5,737.91","$7,918.82","$8,148.57","$9,375.77","$3,737.25","$5,140.93","$6,849.23","$4,513.93","$7,667.72","$5,485.89","$7,191.50","$7,407.14","$6,639.31","$5,194.21","$6,534.85","$8,362.93","$11,319.60","$9,395.40","$10,857.81","$12,392.25","$9,188.44","$4,998.62","$7,016.50","$11,533.16","$9,346.14","$11,029.43","$9,043.00","$7,962.20","$8,376.64","$4,684.52","$2,453.99","$2,553.98","$1,135.63","$1,889.21","$1,051.48","$1,904.50","$1,265.37","$1,172.08","$951.27","$0.00","$843.96","$1,336.02","$1,292.86","$359,975.89","$21,115.63","$6,239.58","$4,934.25","$297.04","$681.50","$353.46","$780.83","$286.92","$530.19","$0.00","$445.79","$760.73","$604.74","$409.30","$941.17","$1,647.40","$1,257.00","$1,467.10","$1,031.61","$1,186.46","$1,412.42","$1,791.14","$3,421.36","$1,178.81","$3,209.84","$1,963.96","$601.72","$2,889.21","$1,483.20","$2,124.21","$3,523.09","$3,447.98","$4,008.80","$2,432.73","$1,782.01","$1,967.76","$1,598.17","$809.87","$786.46","$1,027.70","$1,775.60","$2,310.56","$2,800.55","$1,905.37","$1,956.94","$1,897.85","$2,285.84","$3,523.55","$2,495.36","$3,308.61","$3,461.74","$3,276.49","$2,924.51","$2,241.98","$2,432.74","$2,896.22","$2,627.72","$3,763.27","$3,931.18","$4,606.25","$2,450.88"
"Not Shipped Parts Revenue","$262,545.66","$85,301.03","$39,624.76","$17,550.82","$38,902.39","$10,655.06","$15,516.57","$27,742.82","$10,519.26","$12,929.09","$8,146.67","$3,224.46","$6,051.50","$5,004.37","$4,181.56","$2,756.77","$1,953.57","$3,805.74","$3,656.16","$6,022.79","$5,909.66","$6,713.59","$8,802.98","$4,427.36","$6,334.72","$8,049.78","$11,701.67","$12,600.90","$14,355.76","$5,793.83","$7,202.79","$11,528.96","$7,701.13","$11,681.58","$9,259.69","$10,884.39","$11,711.71","$11,083.32","$8,370.36","$10,126.17","$13,735.78","$17,009.47","$15,116.76","$16,090.49","$18,154.13","$14,484.25","$8,018.63","$10,345.07","$18,517.59","$15,668.55","$17,377.29","$13,293.55","$12,191.14","$14,133.50","$7,588.79","$3,548.01","$3,532.95","$2,000.64","$3,424.13","$1,762.19","$2,701.33","$2,448.47","$2,084.96","$1,245.48","$0.00","$1,459.61","$1,089.51","$2,917.40","$739,521.55","$41,645.81","$10,059.45","$9,011.80","$675.54","$1,068.99","$690.99","$1,527.59","$1,891.08","$811.62","$0.00","$733.94","$1,620.69","$764.15","$1,100.79","$1,678.48","$2,696.36","$1,985.71","$2,616.14","$1,687.56","$1,814.05","$2,711.44","$3,021.92","$4,959.26","$2,522.29","$4,321.81","$2,941.33","$1,275.46","$4,504.46","$2,004.51","$3,819.29","$5,558.51","$5,727.00","$5,846.65","$4,618.42","$3,083.96","$4,077.58","$2,515.68","$1,646.79","$1,382.33","$2,028.25","$2,528.20","$3,366.91","$4,165.18","$3,180.90","$3,180.08","$3,101.68","$3,672.29","$4,811.77","$4,820.42","$5,789.11","$5,495.54","$5,711.44","$4,490.52","$3,820.00","$4,057.23","$4,778.71","$5,053.26","$6,170.27","$9,131.77","$6,485.90","$4,303.23"
"Not Shipped-Backorder Parts","1,320","891","888","393","307","116","102","36","18","28","9","5","4","4","1","7","2","1","1","0","1","0","2","1","0","0","1","0","0","0","0","0","3","1","0","2","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","7","5","18","1","1","4","2","2","1","1","0","1","1","2","4","2","0","0","0","5","0","1","3","1","2","1","0","0","1","0","1","2","0","0","2","2","1","3","0","0","1","0","1","4","2","0","2","2","2","0","1","0","1","0","2","1","0","0","0","0","0"
"Not Shipped-Backorder Parts Cost","$104,627.86","$69,901.17","$62,120.41","$31,486.35","$26,150.21","$8,439.86","$8,431.27","$2,355.51","$1,405.95","$1,476.29","$1,097.26","$589.40","$409.93","$327.42","$60.94","$181.59","$24.25","$5.20","$27.72","$0.00","$16.24","$0.00","$323.47","$177.58","$0.00","$0.00","$185.78","$0.00","$0.00","$0.00","$0.00","$0.00","$331.89","$165.15","$0.00","$280.96","$173.33","$177.58","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$324.29","$380.61","$0.00","$0.00","$165.73","$400.31","$544.44","$0.00","$95.48","$530.60","$215.14","$121.13","$0.00","$7.13","$0.00","$71.16","$26.18","$5.40","$157.99","$31.39","$0.00","$0.00","$0.00","$408.61","$0.00","$52.40","$15.91","$71.16","$3.97","$3.38","$0.00","$0.00","$117.11","$0.00","$0.00","$194.25","$0.00","$0.00","$0.00","$43.77","$0.00","$333.68","$0.00","$0.00","$0.72","$0.00","$0.00","$1.17","$0.00","$0.00","$78.97","$34.38","$125.79","$0.00","$8.60","$0.00","$0.00","$0.00","$2.42","$33.75","$0.00","$0.00","$0.00","$0.00","$0.00"
"Not Shipped-Backorder Parts Revenue","$164,920.08","$107,193.63","$96,865.18","$49,406.25","$37,960.47","$13,366.78","$14,090.23","$3,484.43","$2,612.43","$2,300.42","$1,354.97","$968.03","$707.60","$488.08","$124.51","$491.27","$32.93","$41.15","$67.52","$0.00","$71.04","$0.00","$522.98","$0.00","$0.00","$0.00","$204.36","$0.00","$0.00","$0.00","$0.00","$0.00","$404.00","$219.09","$0.00","$353.19","$267.39","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$356.72","$418.67","$0.00","$0.00","$323.84","$529.29","$802.31","$0.00","$130.83","$622.83","$451.56","$182.65","$0.00","$40.36","$0.00","$189.68","$72.79","$0.00","$104.31","$100.08","$0.00","$0.00","$0.00","$696.61","$0.00","$0.00","$30.79","$78.28","$25.66","$3.72","$0.00","$0.00","$159.55","$0.00","$0.00","$257.81","$0.00","$0.00","$0.00","$133.48","$91.46","$183.09","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$86.87","$37.82","$293.46","$0.00","$9.46","$0.00","$0.00","$0.00","$4.87","$45.75","$0.00","$0.00","$0.00","$0.00","$0.00"
"Part Order Cancel Parts","55","154","340","585","678","581","477","422","333","715","922","740","640","600","626","573","582","517","586","628","807","771","720","897","1,561","1,157","1,018","1,036","975","798","577","898","1,194","1,073","886","1,157","1,441","1,539","1,680","1,423","1,579","1,596","1,553","1,422","1,551","1,901","1,696","2,191","2,072","1,767","1,869","1,622","1,806","1,879","1,737","1,317","1,422","1,278","1,274","1,158","801","1,065","1,444","940","1,101","818","1,351","1,077","9,159","112","342","496","908","1,193","1,387","1,786","1,692","2,093","2,090","2,238","2,334","1,994","1,680","1,417","990","624","765","344","424","314","463","270","222","232","200","144","96","122","51","86","58","83","84","57","59","42","58","25","41","42","61","46","24","18","41","32","27","13","14","33","21","45","42","72","7","0","0","0","0","0"
"Part Order Cancel Parts Cost","$3,127.06","$11,533.05","$29,705.50","$48,372.52","$60,795.61","$44,673.24","$36,820.28","$29,251.94","$18,879.94","$44,907.28","$68,053.60","$56,841.28","$50,243.39","$45,652.33","$47,470.08","$45,359.13","$42,688.04","$44,274.67","$42,403.44","$50,333.67","$45,255.93","$45,429.85","$47,085.68","$58,951.19","$92,797.90","$67,894.35","$65,422.55","$72,569.98","$58,230.41","$53,910.53","$34,274.98","$55,484.10","$78,493.88","$60,500.43","$49,270.71","$62,303.94","$84,830.97","$75,690.52","$80,964.45","$82,433.48","$78,810.77","$80,634.95","$77,814.66","$80,065.48","$81,728.88","$92,244.37","$72,208.97","$101,399.34","$93,836.01","$73,317.06","$80,916.83","$71,312.37","$76,044.89","$87,835.17","$87,587.38","$68,812.01","$77,060.94","$68,557.92","$64,613.25","$57,605.00","$48,252.37","$55,685.23","$84,644.72","$48,436.14","$54,223.36","$36,498.30","$72,642.56","$51,572.64","$460,390.42","$5,573.90","$15,573.94","$23,865.07","$50,011.08","$64,857.09","$75,758.55","$89,807.00","$93,769.18","$117,389.78","$120,308.65","$142,273.82","$148,893.76","$116,949.91","$100,024.48","$81,874.98","$60,678.57","$39,384.55","$43,111.10","$22,721.15","$24,719.97","$18,130.06","$19,720.44","$20,547.41","$14,340.87","$11,220.14","$12,786.26","$9,325.16","$4,466.78","$4,624.01","$1,838.16","$6,084.45","$2,597.53","$4,348.91","$4,307.99","$3,071.93","$2,953.59","$1,175.49","$2,101.53","$1,343.91","$1,280.65","$1,434.78","$2,787.11","$1,465.49","$1,177.18","$917.64","$1,206.80","$1,123.86","$890.82","$166.90","$586.10","$841.93","$426.81","$942.87","$2,691.00","$1,250.85","$12.03","$0.00","$0.00","$0.00","$0.00","$0.00"
"Part Order Cancel Parts Revenue","$5,673.73","$20,892.93","$45,796.15","$73,218.35","$91,555.45","$68,368.64","$56,878.60","$52,095.56","$32,992.42","$71,845.91","$97,989.34","$86,703.94","$78,839.17","$70,787.30","$72,670.00","$67,562.82","$65,170.53","$61,958.67","$59,799.85","$71,705.02","$68,624.42","$72,766.44","$71,504.74","$91,651.62","$137,135.08","$97,960.22","$94,547.22","$106,799.32","$85,572.81","$77,600.17","$52,812.01","$86,926.42","$116,714.00","$93,715.10","$83,507.53","$101,938.42","$136,802.58","$124,341.55","$128,297.22","$127,597.64","$135,208.99","$139,727.04","$127,027.28","$120,424.79","$124,777.32","$145,458.04","$116,520.82","$159,927.82","$151,332.32","$121,599.98","$127,159.41","$112,943.78","$122,245.36","$135,552.28","$136,152.66","$96,715.76","$114,150.46","$94,538.94","$98,424.24","$86,861.39","$70,429.61","$85,014.19","$127,642.80","$78,003.80","$84,920.80","$60,206.99","$122,563.22","$87,375.05","$917,888.09","$9,512.66","$25,218.47","$39,655.23","$80,974.16","$109,394.05","$116,878.40","$138,434.89","$140,432.10","$177,791.60","$179,477.81","$219,694.56","$223,653.48","$178,146.54","$149,395.98","$122,092.83","$84,653.92","$56,935.37","$62,358.53","$31,754.37","$35,106.44","$27,848.23","$30,976.18","$26,696.03","$21,368.06","$17,438.98","$18,474.42","$13,716.38","$6,492.57","$6,773.52","$2,838.79","$8,855.22","$4,380.07","$7,002.22","$6,028.22","$4,326.82","$4,787.40","$1,859.91","$3,480.63","$1,827.72","$1,925.25","$2,080.03","$4,548.49","$2,285.45","$1,399.82","$1,359.16","$1,698.10","$1,761.92","$1,334.46","$274.12","$894.90","$1,227.96","$787.57","$2,251.17","$3,430.64","$2,326.37","$13.23","$0.00","$0.00","$0.00","$0.00","$0.00"
"Unused Parts","156","705","1,222","1,528","2,203","2,009","2,083","2,558","1,942","2,520","2,500","2,620","2,841","2,608","2,497","2,811","2,541","2,633","2,839","2,589","2,638","2,725","2,848","2,710","3,079","3,060","2,780","3,199","3,227","2,749","2,425","3,185","3,121","2,912","2,419","3,076","3,352","3,406","3,368","3,275","3,564","3,731","3,676","3,702","3,964","3,562","2,992","3,567","3,666","3,531","3,535","3,283","3,981","3,976","4,250","2,865","3,265","2,322","1,618","1,474","1,264","1,476","1,623","1,404","1,405","1,365","1,687","1,650","17,835","87","986","2,233","2,995","3,559","4,113","4,507","4,238","5,338","5,178","4,992","5,886","4,997","4,783","6,497","7,534","7,614","8,756","6,377","9,100","8,780","9,166","8,899","8,487","9,225","9,224","9,360","9,503","9,274","7,598","9,721","9,490","9,594","9,545","9,163","8,738","9,073","9,670","7,648","9,186","9,759","8,898","9,703","8,262","9,201","9,169","8,735","9,077","8,647","8,998","8,960","8,355","9,414","9,599","9,480","9,596","9,244","9,707","10,128","10,764","10,281"
"Unused Parts Cost","$9,677.08","$53,353.63","$85,298.54","$99,509.11","$138,281.72","$133,767.29","$132,729.50","$161,190.94","$128,078.73","$159,105.40","$172,532.44","$172,740.64","$198,190.09","$172,028.86","$166,740.62","$190,382.86","$173,285.13","$182,048.82","$207,688.16","$183,410.50","$181,339.93","$182,754.18","$179,905.21","$182,758.34","$213,487.81","$194,042.37","$185,735.21","$211,693.37","$211,051.08","$169,929.34","$152,527.16","$200,028.49","$203,433.06","$197,671.04","$155,974.42","$201,205.42","$204,663.19","$210,267.25","$198,361.25","$196,699.79","$212,165.36","$238,359.90","$223,950.92","$228,584.39","$232,331.62","$205,046.18","$173,305.50","$214,547.84","$234,186.48","$218,564.93","$216,491.85","$205,924.07","$231,064.07","$248,327.72","$259,777.21","$173,460.01","$206,040.27","$152,753.58","$114,409.00","$98,884.03","$82,891.89","$86,579.48","$93,169.70","$74,506.31","$87,658.63","$78,038.95","$101,029.56","$100,023.21","$1,078,935.01","$4,326.01","$56,534.73","$134,592.94","$178,021.17","$220,186.09","$241,018.44","$268,816.92","$257,834.08","$326,699.79","$321,327.04","$308,296.90","$353,469.07","$309,621.62","$286,890.77","$408,948.42","$463,478.70","$478,603.59","$539,625.20","$400,664.03","$531,213.30","$532,019.59","$558,971.64","$526,085.71","$511,010.31","$537,708.79","$598,945.54","$582,674.74","$606,689.27","$574,681.47","$473,775.22","$612,766.47","$580,618.13","$583,484.29","$586,255.07","$553,249.86","$539,047.22","$550,368.21","$595,503.65","$482,445.29","$582,485.08","$607,936.58","$553,016.02","$585,349.50","$509,605.97","$545,665.76","$541,952.85","$528,639.55","$549,085.11","$521,146.56","$537,513.04","$554,037.39","$499,842.80","$577,371.44","$563,948.00","$590,424.04","$573,546.65","$552,333.00","$592,769.43","$624,597.63","$692,444.43","$626,384.15"
"Unused Parts Revenue","$16,952.29","$92,190.21","$144,648.13","$172,614.60","$237,063.99","$228,826.68","$229,271.41","$296,340.04","$232,108.11","$270,928.92","$277,335.54","$296,875.62","$325,449.57","$282,701.34","$282,289.16","$321,468.77","$289,885.86","$304,847.59","$332,360.39","$293,419.29","$297,498.40","$302,693.94","$300,523.21","$296,619.41","$343,360.98","$311,629.70","$294,024.65","$332,128.12","$336,704.28","$279,122.20","$246,769.23","$338,756.98","$346,685.82","$341,336.89","$269,157.09","$345,682.66","$364,301.34","$380,570.45","$349,679.73","$357,404.76","$387,250.17","$420,116.17","$397,020.05","$403,398.54","$410,690.30","$365,237.51","$312,856.84","$381,613.00","$409,445.64","$385,217.31","$383,029.58","$370,506.11","$411,977.38","$444,916.15","$470,411.29","$311,341.50","$355,141.61","$261,053.34","$191,258.60","$155,645.51","$135,662.30","$148,547.14","$152,623.57","$124,564.08","$138,614.29","$132,700.27","$184,728.62","$176,511.03","$2,182,148.01","$9,076.83","$99,076.94","$232,948.88","$306,535.88","$373,077.93","$404,296.91","$442,783.59","$438,207.51","$555,724.33","$530,923.22","$523,841.28","$589,338.43","$514,166.03","$480,856.98","$672,153.45","$747,467.55","$760,921.11","$876,010.19","$642,117.62","$868,159.18","$862,964.81","$897,788.27","$848,044.06","$813,913.11","$865,047.03","$938,221.38","$916,686.82","$959,385.04","$904,669.96","$744,620.67","$960,585.03","$925,167.68","$916,123.63","$926,778.72","$864,268.91","$852,539.01","$870,189.81","$948,086.00","$747,523.68","$905,551.28","$951,515.53","$872,917.88","$922,130.04","$804,403.42","$871,400.79","$857,312.05","$825,859.20","$845,997.60","$814,581.64","$836,895.36","$851,890.41","$780,787.66","$900,016.41","$873,426.02","$897,116.95","$883,973.37","$851,633.50","$909,811.83","$950,164.05","$1,062,782.98","$958,813.07"
